,driverId,raceId,age,position,pct_laps_comp,points,grid
8535,114,373,26.778082191780822,12.0,96.66666666666667,0.0,19
8536,119,373,34.06301369863014,13.0,96.66666666666667,0.0,6
8537,156,373,31.5013698630137,14.0,96.66666666666667,0.0,23
8538,127,373,25.04931506849315,15.0,96.66666666666667,0.0,20
8539,167,373,27.89041095890411,16.0,95.0,0.0,22
8540,112,373,33.78630136986301,17.0,95.0,0.0,15
8541,105,373,31.375342465753423,18.0,90.0,0.0,10
8554,117,374,33.24383561643835,1.0,100.0,9.0,2
8555,77,374,28.736986301369864,2.0,100.0,6.0,3
8556,105,374,31.413698630136988,3.0,100.0,4.0,4
8557,118,374,33.73972602739726,4.0,98.71794871794873,3.0,7
8558,156,374,31.53972602739726,5.0,98.71794871794873,2.0,10
8559,119,374,34.1013698630137,6.0,98.71794871794873,1.0,8
8560,114,374,26.816438356164383,7.0,98.71794871794873,0.0,21
8561,123,374,30.86027397260274,8.0,97.43589743589743,0.0,16
8562,78,374,24.172602739726027,9.0,96.15384615384616,0.0,25
8563,122,374,24.994520547945207,10.0,92.3076923076923,0.0,22
8585,117,375,33.28219178082192,1.0,100.0,9.0,2
8586,102,375,28.208219178082192,2.0,100.0,6.0,1
8587,77,375,28.775342465753425,3.0,100.0,4.0,3
8588,105,375,31.45205479452055,4.0,98.50746268656717,3.0,5
8589,118,375,33.778082191780825,5.0,98.50746268656717,2.0,9
8590,158,375,30.4027397260274,6.0,98.50746268656717,1.0,7
8591,145,375,28.915068493150685,7.0,97.01492537313433,0.0,8
8592,123,375,30.898630136986302,8.0,95.52238805970148,0.0,11
8593,114,375,26.854794520547944,9.0,95.52238805970148,0.0,22
8594,140,375,31.742465753424657,10.0,94.02985074626866,0.0,24
8595,159,375,29.06027397260274,11.0,94.02985074626866,0.0,25
8596,166,375,32.94794520547945,12.0,94.02985074626866,0.0,19
8597,165,375,33.8,13.0,94.02985074626866,0.0,26
8598,99,375,26.26027397260274,14.0,92.53731343283582,0.0,21
8599,160,375,36.391780821917806,15.0,91.04477611940298,0.0,18
8600,122,375,25.03287671232877,16.0,91.04477611940298,0.0,10
8616,102,376,28.246575342465754,1.0,100.0,9.0,1
8617,117,376,33.320547945205476,2.0,100.0,6.0,2
8618,123,376,30.936986301369863,3.0,100.0,4.0,7
8619,137,376,35.843835616438355,4.0,98.55072463768117,3.0,6
8620,122,376,25.07123287671233,5.0,98.55072463768117,2.0,14
8621,156,376,31.616438356164384,6.0,97.10144927536231,1.0,19
8622,118,376,33.81643835616438,7.0,97.10144927536231,0.0,16
8623,99,376,26.2986301369863,8.0,97.10144927536231,0.0,26
8624,110,376,29.054794520547944,9.0,95.65217391304348,0.0,12
8625,112,376,33.9013698630137,10.0,95.65217391304348,0.0,17
8626,138,376,35.323287671232876,11.0,95.65217391304348,0.0,13
8627,131,376,25.104109589041094,12.0,95.65217391304348,0.0,15
8628,159,376,29.0986301369863,13.0,92.7536231884058,0.0,21
8629,160,376,36.43013698630137,14.0,91.30434782608695,0.0,22
